iter	Passed	Remaining
419	2538	3506
420	2543	3498
421	2550	3492
422	2555	3486
423	2562	3481
424	2569	3476
425	2574	3468
426	2580	3462
427	2586	3457
428	2593	3452
429	2599	3445
430	2604	3437
431	2611	3433
432	2615	3424
433	2620	3417
434	2626	3411
435	2630	3402
436	2636	3396
437	2643	3391
438	2648	3385
439	2654	3378
440	2661	3373
441	2667	3368
442	2673	3361
443	2680	3356
444	2687	3351
445	2692	3345
446	2697	3336
447	2702	3329
448	2710	3326
449	2717	3320
450	2722	3314
451	2729	3309
452	2735	3303
453	2741	3297
454	2749	3292
455	2754	3286
456	2760	3280
457	2768	3276
458	2774	3270
459	2782	3266
460	2790	3262
461	2796	3256
462	2801	3248
463	2805	3241
464	2813	3237
465	2820	3232
466	2824	3224
467	2830	3217
468	2837	3212
469	2843	3206
470	2850	3201
471	2857	3196
472	2863	3190
473	2868	3183
474	2875	3178
475	2878	3168
476	2883	3161
477	2888	3154
478	2893	3147
479	2900	3142
480	2907	3136
481	2910	3127
482	2915	3120
483	2923	3117
484	2931	3112
485	2938	3107
486	2946	3104
487	2954	3099
488	2958	3091
489	2966	3087
490	2973	3082
491	2980	3077
492	2986	3071
493	2992	3065
494	2998	3059
495	3006	3054
496	3014	3050
497	3020	3044
498	3027	3039
499	3034	3034
500	3040	3028
501	3045	3021
502	3052	3016
503	3059	3011
504	3066	3006
505	3070	2998
506	3076	2991
507	3084	2986
508	3087	2978
509	3093	2972
510	3100	2967
511	3108	2962
512	3113	2955
513	3119	2949
514	3125	2943
515	3132	2938
516	3139	2933
517	3145	2926
518	3152	2921
519	3158	2915
520	3164	2909
521	3171	2903
522	3179	2899
523	3187	2895
524	3191	2887
525	3197	2880
526	3199	2872
527	3205	2865
528	3214	2862
529	3222	2857
530	3229	2852
531	3236	2847
532	3244	2842
533	3250	2836
534	3256	2830
535	3262	2824
536	3266	2816
537	3271	2809
538	3277	2803
539	3284	2797
540	3289	2791
541	3295	2784
542	3301	2778
543	3309	2773
544	3312	2765
545	3318	2759
546	3324	2753
547	3327	2744
548	3332	2737
549	3339	2732
550	3345	2726
551	3351	2720
552	3359	2715
553	3364	2708
554	3370	2702
555	3375	2695
556	3382	2689
557	3389	2684
558	3395	2678
559	3403	2673
560	3410	2668
561	3418	2663
562	3426	2659
563	3434	2655
564	3443	2651
565	3450	2645
566	3457	2640
567	3464	2634
568	3470	2628
569	3473	2620
570	3481	2615
571	3487	2609
572	3489	2600
573	3494	2593
574	3501	2588
575	3509	2583
576	3512	2575
577	3518	2569
578	3523	2562
579	3529	2555
580	3533	2547
581	3540	2542
582	3545	2535
583	3548	2527
584	3554	2521
585	3560	2515
586	3566	2509
587	3570	2501
588	3574	2494
589	3579	2487
590	3585	2481
591	3590	2474
592	3597	2469
593	3604	2463
594	3610	2457
595	3616	2451
596	3623	2446
597	3629	2439
598	3638	2435
599	3645	2430
600	3652	2424
601	3659	2419
602	3666	2413
603	3674	2409
604	3680	2403
605	3687	2397
606	3693	2391
607	3698	2384
608	3704	2378
609	3707	2370
610	3709	2361
611	3715	2355
612	3722	2349
613	3730	2345
614	3738	2340
615	3743	2333
616	3750	2327
617	3758	2323
618	3767	2318
619	3775	2314
620	3778	2306
621	3784	2299
622	3791	2294
623	3798	2288
624	3805	2283
625	3809	2276
626	3815	2270
627	3822	2264
628	3829	2258
629	3835	2252
630	3842	2246
631	3848	2241
632	3852	2233
633	3858	2227
634	3864	2221
635	3871	2216
636	3880	2211
637	3885	2204
638	3892	2199
639	3899	2193
640	3903	2186
641	3911	2181
642	3917	2175
643	3925	2169
644	3930	2163
645	3936	2157
646	3942	2151
647	3947	2144
648	3953	2138
649	3960	2132
650	3967	2126
651	3973	2120
652	3981	2115
653	3985	2108
654	3993	2103
655	3996	2095
656	4002	2089
657	4008	2083
658	4014	2077
659	4019	2070
660	4025	2064
661	4031	2058
662	4037	2052
663	4042	2045
664	4049	2039
665	4056	2034
666	4062	2028
667	4068	2022
668	4076	2016
669	4081	2010
670	4087	2004
671	4094	1998
672	4097	1990
673	4103	1984
674	4111	1979
675	4116	1973
676	4122	1966
677	4130	1961
678	4140	1957
679	4147	1951
680	4153	1945
681	4160	1939
682	4167	1934
683	4171	1927
684	4177	1921
685	4184	1915
686	4189	1908
687	4196	1902
688	4203	1897
689	4209	1891
690	4217	1885
691	4224	1880
692	4233	1875
693	4240	1869
694	4246	1863
695	4253	1858
696	4260	1852
697	4266	1846
698	4274	1840
699	4277	1833
700	4281	1826
701	4288	1820
702	4295	1814
703	4303	1809
704	4310	1803
705	4317	1798
706	4323	1791
707	4331	1786
708	4338	1780
709	4345	1774
710	4351	1768
711	4358	1762
712	4364	1756
713	4369	1750
714	4375	1744
715	4383	1738
716	4391	1733
717	4398	1727
718	4405	1721
719	4413	1716
720	4418	1709
721	4425	1704
722	4432	1698
723	4439	1692
724	4446	1686
725	4453	1680
726	4457	1673
727	4464	1667
728	4471	1662
729	4478	1656
730	4485	1650
731	4493	1645
732	4500	1639
733	4509	1634
734	4513	1627
735	4519	1621
736	4527	1615
737	4534	1609
738	4540	1603
739	4546	1597
740	4553	1591
741	4560	1585
742	4567	1580
743	4575	1574
744	4581	1568
745	4589	1562
746	4593	1555
747	4600	1550
748	4607	1543
749	4611	1537
750	4617	1530
751	4623	1524
752	4630	1518
753	4637	1513
754	4645	1507
755	4651	1501
756	4659	1495
757	4668	1490
758	4677	1485
759	4684	1479
760	4692	1473
761	4700	1468
762	4708	1462
763	4713	1455
764	4718	1449
765	4722	1442
766	4727	1436
767	4735	1430
768	4739	1423
769	4745	1417
770	4751	1411
771	4760	1405
772	4767	1399
773	4776	1394
774	4783	1388
775	4791	1383
776	4800	1377
777	4808	1372
778	4816	1366
779	4824	1360
780	4832	1355
781	4841	1349
782	4847	1343
783	4855	1337
784	4862	1331
785	4869	1325
786	4877	1320
787	4884	1313
788	4888	1307
789	4892	1300
790	4899	1294
791	4906	1288
792	4913	1282
793	4921	1276
794	4930	1271
795	4937	1265
796	4944	1259
797	4951	1253
798	4958	1247
799	4965	1241
800	4972	1235
801	4980	1229
802	4982	1222
803	4986	1215
804	4993	1209
805	4997	1202
806	5004	1196
807	5010	1190
808	5019	1185
809	5025	1178
810	5033	1173
811	5041	1167
812	5048	1161
813	5055	1155
814	5063	1149
815	5071	1143
816	5073	1136
817	5077	1129
818	5082	1123
819	5089	1117
820	5096	1111
